title,company,location,link,detail
Microsoft BI and Data Modeling 채용 연계형 인턴쉽(1차 모집),메이븐코리아(주),서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37507458&location=ts&searchword=python&searchType=search&paid_fl=n,신입
인공지능 / 빅데이터 분석  채용(정규직/계약직),데이터플로,서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37499755&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
[DS/DA팀] 데이터 분석가(신입),(주)이팝콘,서울 서초구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37463235&location=ts&searchword=python&searchType=search&paid_fl=n,신입
[ Ai 스타트업 ] 딥러닝ㆍ 데이터 엔지니어 경력 및 신입 모집,(주)옷딜,서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37436466&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
빅데이터 분석가 경력무관 모집,(주)오픈메이트온,서울 중구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37463921&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
㈜정상제이엘에스 웹개발자 경력직원 채용,㈜정상제이엘에스,서울전체,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37514554&location=ts&searchword=python&searchType=search&paid_fl=n,경력3년↑
[메가존] JAVA 개발자 신입/경력 대규모 채용,메가존(주),서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37347369&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
머신러닝/빅데이터 인재 채용(신입/경력),(주)써티웨어,서울 송파구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37536012&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
TNMS 빅데이터센터 신규인재 채용모집,티엔엠에스주식회사,서울 강동구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37522834&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
인공지능 Front/Back-end 개발자 모집,(주)아크릴,서울 강남구,https://saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37518605&location=ts&searchword=python&searchType=search&paid_fl=n,경력무관
